Title,Author
End Iran sanctions in the time of coronavirus. The world should follow China in helping devastated Iran and condemn the United States for its inhumane and vindictive action.,Alex Lo
"Corporate Asia can no longer raid global stock markets for cheap and easy capital, just when they need it most. The stock market crash has ended Asian companies’ access to cheap capital financing, exposing their long-nurtured dependence on capital markets, just as their need for financing is acute, and likely to come at much greater cost than before.",Anthony Rowley
"With coronavirus crisis, China sees a chance to export its model of governance. To deflect criticism of its initial cover-up, the Chinese government is busy presenting its model of governance as a success in containing Covid-19. China’s model offers efficiency, because unlike in democracies, there is no cost of dissent.",Surya Deva
"Coronavirus tsunami could drown Southeast Asia, with its effects rippling across the globe. Few Southeast Asian states have the resources, wealth and government capabilities to respond to a pandemic that even the richest nations are struggling to defeat.",Richard Maude
"As oil industry nears collapse, Saudi Arabia may have no option but to blink first in its price war with Russia. Given coronavirus-weakened demand, and with Russia in a better financial position to ride out the price rout, a heavily indebted Saudi Arabia simply cannot afford to sell at such low prices for much longer, unless it wishes to take the oil industry down with it.",Donald Gasper
"As Hong Kong fights to contain the coronavirus, Carrie Lam must not distance herself from her public. Hong Kong’s leader has chosen to let public health experts take centre stage instead of speaking directly to the people. This leaves restless and frustrated Hongkongers feeling like they have no choice but to fend for themselves.",Alice Wu
Road accidents are likely to kill more people than coronavirus. The world needs to keep perspective. Rich communities can fund collapsing businesses for a while. But can the developing world really enforce coronavirus lockdowns? A balance should be struck between the threat of one disease and the social cost of measures against it.,Philip Bowring
"Coronavirus pandemic has upended schooling in Hong Kong – with parents bearing the brunt. The digital divide is evident in how schools deliver e-learning, with parents anxious that their children are losing out and struggling to support them while juggling work.",Nutsa Kobakhidze
"Forget fancy AI predictions. The world must come together to think for ourselves in this coronavirus pandemic. In such extraordinary circumstances, forecasts and predictions by clever computers or AI-driven algorithms cannot provide specific solutions. These can only come about by putting our smartest thinkers together through multilateral action and global cooperation.",David Dodwell
"Tokyo Games may yet prove a winner. Japan’s decision to postpone Olympics for one year has come as a blow to organisers and the government, but it eases athletes’ fears and gives Hong Kong more time to hammer out free-to-air TV deal",SCMP Editorial
Authorities have to ensure that we all keep our distance. ,SCMP Editorial
"How to win the war against the coronavirus: control emotions, stop the blame game and unite against the common enemy. We must support medical workers by ensuring they have enough protective gear and practising social distancing. Governments must keep a clear head and make hard choices between lives and livelihoods.",Andrew Sheng
"From quarantine breakers to social distancing avoiders, ingenuity is turning out to be the weakest link in our coronavirus defence. Human ingenuity is prevailing, not just in helping people get used to difficult pandemic measures, but also in circumventing them. Apathy, dangerously, is also a form of adaptation, to prevent oneself from being overwhelmed in these extreme times.",Samir Nazareth
"The US and China should fight the coronavirus together now, and quarrel later. There will be time to dwell on how much China’s initial cover-up and the US government’s slow response to Covid-19 cost the world. But first, the US and China must work together to fight the crisis.","James Heimowitz,Dorinda Elliott"
"It’s no time for Article 23. We have an undeniable constitutional duty to enact legislation on treason, secession, sedition and subversion, but just imagine what terrifying internal upheaval we may face if we go ahead with it",Alex Lo
"Coronavirus pandemic could be an economic policy turning point, reconfiguring the public-private nexus. The zero-interest rate environment is likely to continue long after the crisis abates and government debt will balloon. Governments will have to make difficult decision on which companies to save, without upsetting the principle of market forces.",Tai Hui
"The world simply can’t afford China-style coronavirus lockdowns. Mass containment has become the narrative of the coronavirus pandemic, but is it really the answer? From an economic perspective, it makes more sense to actively protect vulnerable people, and get everyone else back to work.",Richard Harris
"As the coronavirus rocks financial markets worldwide, China is not the safe bet investors hope it is. While Chinese stock market, yuan and bond markets have proved resilient, it is too early to say whether China will be hit by a second wave of infections, and the strain on global supply chains does not bode well for the country.",Nicholas Spiro
Think twice before stepping outside amid Hong Kong quarantine orders. Those who break quarantine orders must face full force of the law and concerted efforts by all are needed to keep coronavirus infections to a minimum.,SCMP Editorial
"Those battling coronavirus on the front line badly need our support. With three doctors in the city already infected, we should remember the health professionals who are trying to keep us safe and tolerate restrictions on daily life.",SCMP Editorial
"After Xi’s China and Trump’s America, Modi’s India is stepping up to battle the coronavirus. Modi has declared a 21-day national curfew and started a South Asian emergency fund, displaying leadership when global coordination against Covid-19 is lacking. India’s success could disprove the idea that authoritarian regimes are better placed than democracies to tackle a pandemic.",C. Uday Bhaskar
"Time for virus vigilance, not celebration. ",Alex Lo
"Hong Kong must address the deeper digital inequalities exposed by the coronavirus pandemic. More than access to computers and high-speed internet, the divide is in what you can do with the access, particularly in critical times, such as during the mask shortage, when the digitally able bought them online while the rest queued for hours, risking Covid-19.",Kai-Lung Hui
Community efforts against coronavirus have been key to averting major public health disaster in Hong Kong. Hong Kong is being lauded for its containment effort now countries in the West are experiencing the challenges it faced in the early days when infection numbers spiked. Government competence can only go so far. The real heroes are all the people.,Bernard Chan
"Coronavirus: how Hong Kong and other cities can get life back to normal in 28 days. We shouldn’t have to wait for the disease to disappear altogether before life can return to some semblance of normality. The incubation period for Covid-19 is up to 14 days. So, 28 days without local infections should be enough for a city to be declared safe.",Ho Lok Sang
"For India to become the next manufacturing powerhouse, it must first learn from China – with or without the coronavirus. The crippling disruption to Chinese supply lines has inspired talk of India capitalising on Covid-19 to boost its ‘Make in India’ push. But the challenge of setting up a suitable supply network, with the skilled workforce to operate it, is daunting even before India went into a lockdown of its own.",Keji Mao
Coronavirus: ‘Calm and reassuring’ didn’t convince Vancouver’s Covidiots to stay home. Maybe it’s time for fear and forcefulness. British Columbia’s health officer Dr Bonnie Henry has been a beacon of calm authority amid the Covid-19 outbreak – but some doctors want her to get tough.,Ian Young
"Beijing must come clean on arbitrary detention of Taiwanese or risk hurting its soft power ambitions. Since 2017, at least four Taiwanese have been arbitrarily detained in mainland China and isolated from family and lawyers because of a breakdown in cross-strait relations. International pressure is losing effectiveness as China grows in economic clout.","Yu-Jie Chen,Jerome A. Cohen"
"When bureaucracy harms public health. Transparency can be instrumental in ensuring safety, no matter how inconvenient this may be at times for officials trying to control the narrative.",SCMP Editorial
"Afghanistan deserves chance for peace after 40 years of bloodshed. Deal struck between the US and Taliban offers hope, but regional powers have to stop channelling weapons to Afghan allies and intensifying civil war",SCMP Editorial
"Washington, do you want the face masks or not?. While asking Beijing for medical supplies, top US officials continue to grandstand with groundless provocation",Alex Lo
"How China can end US rivalry and realise its vision of a shared future for humanity, as the world struggles with the pandemic. The US-China rivalry only feeds the pandemic when global cooperation is needed. This is where China’s vision of a shared future or destiny for humanity can be useful, provided it can be elevated above suspicions of a Beijing power grab.",Robert Lawrence Kuhn
"China is winning the coronavirus battle but losing the economic war. The battering the economy took in January and February is only now becoming clear. Worse, with the rest of the world now falling under the pandemic’s shadow, Beijing should expect more economic convulsions",Aidan Yao
Why Hong Kong students spreading racist coronavirus memes and blaming China are playing with fire. The Covid-19 crisis extends beyond Hong Kong politics and China. Singaporeans and Hongkongers have been racially targeted overseas because of the virus. Pinning the virus on China only reinforces bigotry and racism.,Sean McMinn
"Bungled, chaotic White House response to coronavirus discredits Trump, but won’t stop the US winning the Covid-19 fight. The US president’s apparent reluctance to use emergency powers to ramp up production of critical medical supplies and equipment puts lives at risk.",Brian P. Klein
"As the coronavirus pandemic rages, Chinese returnees find a hostile welcome at home. Affected by campus shutdowns overseas, many of the 600,000-plus students are returning home because they have nowhere else to go. Yet, they and other returnees have been criticised on social media for bringing the virus back to China.",Tianyu M. Fang
"Trade war and the coronavirus will bring China’s quietly raging consumer debt crisis to a head. Online lenders and other more traditional nonbank players are sinking further into trouble as a weakening Chinese economy takes its toll. Given the weak legal infrastructure, expect the fallout to hurt banks and destroy many nonbank financial institutions.",Joe Zhang
"When global markets are fearful of the coronavirus, cash-rich Hong Kong investors can afford to be bold. With both plummeting equity prices and US dollar strength, there is an added incentive for Hong Kong investors to act, given that the currency peg affords stability. With 2047 not that far away, now is the time to plan a longer-term portfolio diversification strategy.",Neal Kimberley
"Despite concerns, let the money flow. It is in Hong Kong’s interest for the Legislative Council to examine the details closely and pass the government budget expeditiously",SCMP Editorial
This is not the time to let our guard down as number of cases rises in Hong Kong. Restricting entry into Hong Kong and prohibiting bars from selling alcohol may seen draconian but these measures are needed if we are to defeat Covid-19.,SCMP Editorial
"Scientific expertise is one authority we still need to respect. Rather than attacking Professor Yuen Kwok-yung, a world authority on coronaviruses, we should be thankful we still have his dedicated public service.",Alex Lo
"How Donald Trump’s incompetence breeds coronavirus denial in the US. When students on spring break rebel against social distancing measures, it may be because the US administration does not inspire trust. Although Trump fancies himself a ‘wartime president’, he doesn’t quite understand the enemy he is up against.",Tom Plate
"As coronavirus ravages the world, I’d rather be in Hong Kong right now than anywhere else. Hong Kong’s prior experience with health emergencies, good infrastructure and a population with an instinct for self-preservation have combined to keep the city’s infection rate relatively low.",Peter Kammerer
"Asia may have the edge in battling the coronavirus, but property prices don’t reflect the severity of the crisis. Asia has proved more successful in containing the virus so far. However, the assumption the region will be first in, first out of the downturn is questionable, as it is still unclear how quickly China’s economy can resume without triggering a rise in new infections.",Nicholas Spiro
"Coronavirus pandemic should prompt a global ban on short selling if hedge funds cannot self-regulate. The coronavirus crisis raises the question of whether hedge fund activities should be reined in or more closely monitored. Making money out of market disorder may be permissible, but profiting from an abject global tragedy should not be.",David Brown
Employ technology to bring an end to crisis. All governments have to cooperate and coordinate if the war against the disease is to be won.,SCMP Editorial
"Bite the bullet and impose ban on international arrivals. It is a drastic step to take, especially for an international city such as Hong Kong, but the priority must be to protect public health.",SCMP Editorial
"AFCD, stop causing panic among people against pets. Since there is no evidence that dogs and cats pose a danger, let their owners self-quarantine them.",Alex Lo
"Better to be safe than sorry with Olympics. A sporting festival is not what the world needs when it is fighting a deadly pandemic and, for the sake of health and safety, the Games should be cancelled",SCMP Editorial
"China and US have a duty to work together with world on brink. The relationship between the world’s two biggest economies is at its worst in decades, and they should put their enmity aside to fight the coronavirus pandemic",SCMP Editorial
"Coronavirus: amid the shrill, polarised criticism of China’s response, give credit where it’s due or risk missing important lessons. A lack of nuance in critiquing China’s response is neither accurate nor helpful, and any serious discussion can only proceed by acknowledging Beijing’s successes as well as failures. As Europe and the US struggle with the pandemic, useful lessons may be lost.",Brian YS Wong
"How coronavirus shutdowns are redrawing supply chains and globalisation forever. Global lockdowns are disrupting supply chains and giving the world a taste of economic decoupling. But the gains of globalisation and the internet cannot be rolled back, so what awaits us is not the end but a fresh reconfiguration of the global economy.",David Dodwell
"Why the world should not be throwing stimulus money at stock markets. Covid-19 has hit financial markets hard because their health was in a parlous state to begin with. As central banks and governments rush to launch economic stimulus, they should stop propping up stock markets, and focus on rebuilding a more sustainable economy.",Anthony Rowley
Vigilance essential after virus setback. ,SCMP Editorial
"Talks give world an opportunity to avoid nuclear weapons nightmare. With international tensions rising, disarmament deals can play an important part in maintaining stability, and all eyes will be on next month’s UN review conference",SCMP Editorial
"Is China to blame for the Covid-19 pandemic?. Most of us are not in the blame game for scientific precision, but to satisfy petty desires, an ideology, a personal hatred and distaste, or just blind prejudice",Alex Lo
"If India wants to challenge China as a global manufacturing hub, it will have to move quickly. India has many hurdles to overcome, from reskilling workers and ensuring power supply stability, to adding deep seaports and tax breaks. Critically, given stiff competition, speed is key if India is to capitalise on the supply chains moving out of China",Rupakjyoti Borah
"Italy’s coronavirus crisis lays bare our misguided belief in international solidarity. Italy’s situation sheds light on how our beliefs in state sovereignty, international order and international solidarity may have been misguided. In its hour of need, Italy has found itself abandoned by its EU partners.",Phil C. W. Chan
"In Hong Kong, kindness in a time of coronavirus is turning the ugly tide of selfishness. From free online lessons to giveaways to needy families, acts of kindness are gaining traction, but more is needed. Hong Kong can get through this crisis, if those who have the financial means step up and help the less fortunate.",Alice Wu
"Elections in the aftermath of coronavirus: how Hong Kong’s blue and yellow camps should alter their strategies. Both pan-democrat and pro-establishment parties cannot afford to ignore the crippling impact of the coronavirus pandemic, protests and trade war on the economy and how this will influence voter behaviour in the Legco election.",Mike Rowse
Why the ‘big bazooka’ used in the 2008 financial meltdown is the wrong weapon for the coronavirus crisis. The global financial crisis playbook was designed for a world facing threats to the quantity of economic growth. It cannot be the answer for a world facing a shock stemming from deficiencies in the quality of that growth.,Stephen Roach
"No room for coronavirus conceit from US or China as world has its hands full fighting pandemic. It is too simplistic to credit China’s containment to authoritarianism, just as America’s failings cannot be blamed on democracy. Any attempt by Beijing or Washington to wag fingers or overplay success only puts off the ordinary people who are paying the price of the pandemic.",Christine Loh
Abuse of quarantine centres to be deplored. ,SCMP Editorial
US and China need to respect important role of foreign media. Tit-for-tat expulsions of journalists contribute to increased tensions between both countries and create further divisions at a time when people should be kept fully informed.,SCMP Editorial
"Mr Trump, what about the ‘American flu’ and ‘Western financial crisis’?. There are plenty of contagion incidents, both financial and viral, that would qualify to be named after America if we follow the US president’s notion of origins",Alex Lo
"Coronavirus isolation is an opportunity to face our fear of death, and make peace with ourselves. It may be grotesque to fear death but it is far worse to have deathbed regrets. As more people around the world go into quarantine or self-isolation, it is a time to explore connectedness and find tranquillity.",Farah Abdessamad
The coronavirus has created an unprecedented market environment. Do the usual rules still apply?. The current volatility is a reminder that investment strategies matter when it comes to how portfolios behave during a rapid market downturn.,Hannah Anderson
"As the coronavirus crisis creates common ground, Carrie Lam has a rare chance to bridge Hong Kong’s divide. Lam can form a bipartisan task force to tackle Covid-19 issues, start cross-aisle initiatives for, say, medical supplies, and plan long-term investment in education and pensions. To avert fresh upset, she should emphasis her government’s transitional nature.",Vijay Verghese
"How the world can be better prepared for the next pandemic, and keep economic globalisation alive. Economic isolation is not the answer to a public health problem. Better ways must be found to manage supplies of essential goods, a public health response and cross-border travel during a pandemic.",Lawrence J. Lau
"With the coronavirus beginning to exact its economic cost, Hong Kong must brace itself for a tide of woe. Unemployment and bankruptcy figures are beginning to hint at the ravages of the economic damage. Financial Secretary Paul Chan may have to dip further into the city’s massive fiscal reserves to provide a safety net.",David Dodwell
"The coronavirus pandemic offers a chance to make the world safer and fairer. In focusing on Covid-19, it is easy to miss the bigger picture. The West is largely responsible for worsening the outbreak. If the world is to become a better place, selfish Western capitalists must change their ways.",Albert Cheng
"As Europe’s coronavirus death rate climbs, China’s recovery from the epidemic has become a bellwether for investor sentiment. If economic activity resumes in China without triggering renewed clusters of outbreaks, investors will conclude that aggressive containment measures can be successful and they will have clarity on the depth and duration of the crisis.",Nicholas Spiro
"In Covid-19 spread, China and the West have reversed roles. When you see nations or people in deep trouble, react with compassion and humility – because you may be next.",Alex Lo
"As fears of worsening outbreak loom, Hong Kong must be ready to act. Record number of daily infections has fuelled further calls for a lockdown and ban on visitors, but whether such measures are required depends on the government’s ability to respond to an immediate threat.",SCMP Editorial
Coronavirus: Tokyo 2020 needs to be cancelled or postponed immediately. A high-ranking organising committee official testing positive for Covid-19 is another wake-up call for the IOC,Patrick Blennerhassett
"Has China learned its lesson from the coronavirus tragedy? Judging by its continued censorship, no. Official responses after Li Wenliang’s death show little sign Beijing realises that the muzzling of information has life-and-death consequences for the world. An unrepentant China may leave the world no choice but to decouple and keep a distance",Billy Huang
"Donald Trump’s stoking of anti-China racism over the coronavirus puts Asian-Americans in a tight spot. On top of the economic and public health challenges, Asian-Americans are also the target of xenophobic attacks fanned by the major-power competition between the US and China.",Wenyuan Wu
"Coronavirus has only hastened the inevitable stock market crash, but expect another bull run on the back of stimulus measures. It is not surprising that Wall Street is reacting to a health crisis that has had a severe impact on the Chinese economy. To avoid a credit crunch, policymakers are pouring liquidity into the market, which will once again fuel an asset bubble.",Richard Harris
"Coronavirus: in the absence of Singapore-style leadership, Hongkongers are rediscovering their can-do spirit. Not only does Hong Kong’s leader lack the credibility to begin a television address with ‘my fellow Hongkongers’, the government’s inadequate handling of the crisis has pushed the city’s residents to draw on their own resources.",Michael Chugani
"Social enterprises are needed more than ever amid Covid-19, and Asia is the perfect place for their growth. Social enterprises, which try to meet social needs through a for-profit business model, are often at the forefront of social innovation. The region must tap its own considerable resources in philanthropy and investment funds to support innovative business ideas for wider benefit.",Mehvesh Mumtaz Ahmed
"Airlines badly need a lift as industry dives. With the coronavirus crisis taking a heavy toll on carriers, the authorities must be ready to come to the rescue with subsidies, tax breaks and cuts in charges.",SCMP Editorial
"China in position to help world through coronavirus crisis. With the rate of disease slowing in the country, Beijing can reach out to nations where the infection is swiftly gathering pace by offering its experience, technical know-how and badly needed equipment.",SCMP Editorial
"How the coronavirus will humble America and Donald Trump, and strengthen China’s position on the world stage. A few good things will come out of the pandemic. A Democrat may well be the next US president and end the trade war with China, which will be in a better position to bargain, having had a lead in tackling the virus and a head start in economic recovery.",Anson Au
Struggling Hong Kong companies unlikely to get a break. Proposed law that would help otherwise viable businesses to restructure debt and stay afloat or to find a white knight faces opposition in the legislature,Alex Lo
The coronavirus will not be fatal for China’s Belt and Road Initiative but it will strike a heavy blow. Projects face delays as the coronavirus prevents Beijing from supplying the goods and people needed. And project resources will be diverted as China focuses on its own recovery. But the biggest casualty may be a loss of faith in Chinese-style connectivity,Daniel Russel
"Coronavirus-wary investors could learn from Franklin D. Roosevelt and inoculate themselves against fear. Investors must digest the health data, gauge the impact on growth and earnings and, most importantly, keep their emotions in check.",Christopher Smart
"In a time of coronavirus, China’s investment in AI is paying off in a big way. In China, AI is being used to fight the virus on all fronts. With its ability to learn quickly, AI saves human beings time in sequencing the genome of Sars-CoV-2, designing lab tests, analysing CAT scans and making new vaccines.",Andy Chun
"Why the coronavirus is a ticking time bomb in the US: a costly and inefficient health care system. The slow initial response to the threat of Covid-19, the shortage of testing kits and confusion over who can get tested are symptom of long-term structural problems in the country’s health care system.",Heiwai Tang
"The coronavirus epidemic is a warning for Hong Kong, and others, to prepare for the reality of an ageing world. Because the coronavirus disproportionately affects people over 65, health care systems in countries with large elderly populations are struggling. The pandemic should prompt governments to consider how policies such as social distancing affect the elderly.",Colleen K. Howe
"As markets panic over coronavirus pandemic, the US dollar is king – for the time being. Investors’ dash for cash prompted market sell-offs last week, as US dollar liquidity is critical to the functioning of the global financial system. But looking beyond the crisis, too much liquidity could give rise to asset price inflation.",Neal Kimberley
New KMT leader walking a tightrope. Johnny Chiang has to tread wisely as the party formulates reforms and a strategy that will not hurt ties with Beijing.,SCMP Editorial
"Shore up defences to keep out imported cases of coronavirus. Hong Kong has done well so far to protect residents but the threat now could come from those returning from overseas, for which the city may not be so well-prepared",SCMP Editorial
Coronavirus: billionaire sport team owners find themselves faced with financial choice – to pay or not to pay?. Multiple high profile athletes and owners have pledged to pay arena staff for the coming weeks.,Patrick Blennerhassett
The virtues of working from home. Studies show that productivity actually increases and companies can save on rent with the kind of flexibility that has been introduced during the coronavirus crisis.,Alex Lo
"Donald Trump and his coronavirus task force are doing a bad job. Let a woman take over. The US president takes no responsibility for the coronavirus testing debacle. Meanwhile, Nancy Messonnier, the health official who warned of community spread in the US, is not part of the White House coronavirus task force.",Robert Delaney
"The coronavirus and financial contagions demand a joint response. Can China and the US deliver?. As the public health crisis spreads to global markets, recovery will depend on two factors: whether China seizes the chance to pursue economic reform, and whether the US and other major economies take coordinated action, like in 2008.",Kevin Rudd
"As the coronavirus takes its toll, here’s what the European Central Bank must do to save the euro zone economy. The ECB missed an opportunity to walk in step with the US and Britain and cut interest rates last week. In addition to pumping liquidity into the market, the ECB must shore up high-risk bond markets and ban speculative short-selling.",David Brown
"Tokyo insists otherwise, but it’s hard to see how the Olympics can go on unaffected by coronavirus. Japan rolled out a tangled Olympic welcome mat with its clumsy handling of the Diamond Princess outbreak. An Olympics fortnight, if it goes ahead as planned, would certainly qualify as any infectious disease expert’s nightmare scenario.",Peter Wynn Kirby
"As the coronavirus tears through financial markets, Chinese real estate bonds are holding the fort. While sales are falling and the rise in home prices slowing across Chinese cities, real estate debt remains resilient on the back of decisive government action to contain the spread of the coronavirus and policy support for developers.",Nicholas Spiro
"Technology can allow the show to go on. Many events – from sports to concerts – have been cancelled or postponed because of the coronavirus, yet innovative thinking can see some shows put online.",SCMP Editorial
"Between the trade war and coronavirus, US-China relations are becoming more toxic. During the Sars outbreak and after the Sichuan earthquake, US administrations reached out to China. During the Covid-19 crisis, however, the two countries have been playing the blame game as hawks push for economic decoupling.",Cary Huang
"Paul Chan can – and should – further loosen the purse strings. With hundreds of billions of dollars still in reserves, Hong Kong’s finance chief has room to manoeuvre as city tries to recover from last year’s social unrest and this year’s coronavirus pandemic.",SCMP Editorial
"Dictatorship and democracy together cook up a pandemic. Thanks to their respective political systems, authoritarian China and Western democracies complement one another – one in causing an outbreak, the other in enabling its global spread.",Alex Lo
"The coronavirus brings the pain of job loss and cut salaries, but also relief for our overheating planet. To understand the economic impact of Covid-19 on regular people, consider the travel and tourism industry. Amid travel restrictions and flight cancellations, the coronavirus pandemic is threatening 50 million jobs around the world.",David Dodwell
Remember those left to struggle in crisis. The Covid-19 pandemic is likely to prevail for some time and now there is even greater need to help the poor and others finding it hard to cope,SCMP Editorial
"Leading nations must go all out to shore up global economy. With the coronavirus spread seemingly just starting in some countries, coordinated planning is needed from governments and central banks to contain the economic fallout",SCMP Editorial
"Coronavirus outbreak no excuse for discrimination. Banning of mainlanders by some restaurants in Hong Kong is to be condemned at a time that calls for tolerance and compassion, not bias and hostility.",SCMP Editorial
"Time of crisis cries out for coordinated global leadership. If the world is to overcome the coronavirus pandemic and financial market meltdown, the divisive approach of an isolationist US president is not the way forward.",SCMP Editorial
"In a pandemic, compassion begins with understanding. Disasters have a way of exposing a country’s weaknesses and strengths, both of which need to be accounted for to arrive at an objective and fair assessment.",Alex Lo
"Asia has gained some perspective on the coronavirus. Europe and the US should too. Western governments should be framing a message of caution, not cancelling events, shutting everything down and feeding panic. If markets collapse, poverty will kill more people than the coronavirus.",Joshua M. Zimmerman
"Central banks riding to the rescue of crashing debt markets must think twice. Aside from the moral hazards of such a massive bailout, the risk is that a wall of central bank money meeting slumping growth and output can cause the greater damage of hyperinflation.",Anthony Rowley
‘No blue ribbons and dogs’ is a sign that Hong Kong’s democracy movement has gone to the dogs. Hongkongers who indulge violent protesters have unleashed hatred and hypocrisy. Pro-democracy district councillors who discriminate against blue ribbons are doing a disservice to their cause and debasing public service.,Alice Wu
"Despite the coronavirus pandemic, prospects for Asia-Pacific stocks look bright beyond the short term. While there is more pain to come for the region due to the impact of Covid-19 on supply chains, fiscal and monetary policies as well as largely solid fundamentals should support Asian markets.","Flavia Cheong,Robert M. Gilhooly"
"With a pandemic stalking the world once more, March 11 will become a fateful day for the history books. On this day, the market’s longest bull run ended, leaving recession looming. The US bans travel from continental Europe, reawakening EU ideas of self-reliance. And a pandemic is declared, exposing the failure of containment and Chinese leadership, particularly for Xi Jinping. March 2020 will mark the start of a new era, with tectonic changes in the economic, political, diplomatic, social and security spheres",Marco Vicenzino
Hong Kong legislators leveraging US power to settle personal scores hurt city’s interests. The suggestion that Hong Kong officials could fall foul of US legislation on human rights has in itself caused reputational damage to the city. Hong Kong politicians seeking to use the legislation against enemies do a disservice to voters.,Regina Ip
"US paranoia over Chinese heads of UN bodies fails to recognise China’s genuine desire for international engagement. The US push against China’s candidate to head the World Intellectual Property Organisation betrayed US disquiet over Chinese influence in international bodies. China, however, sees this as part of its re-engagement with the international community.",David Dodwell
"With post-Brexit budget, Britain signals that it is ready for business with Hong Kong and the world. The budget, the first to be delivered amid a pandemic, signals a major shift towards public-sector and infrastructure investment, and showcases Britain’s determination to be an active member of the world community.",Andrew Heyn
China needs to rethink permanent residency rules for foreigners. Proposals revealed amidst the coronavirus outbreak have stoked a public backlash and should be considered at a more appropriate time,SCMP Editorial
China and the US should put differences aside to defeat coronavirus. The two nations most able to come up with a cure and vaccine are feuding to the point that their researchers and scientists are unable to pool resources,SCMP Editorial
"Pan-dems, stop being US collaborators. Whether or not the Hong Kong government and police have committed human rights breaches, a country accused of being responsible for war crimes is in no position to sit in judgment",Alex Lo
"The coronavirus is everyone’s problem. Neither markets nor governments can handle this on their own. This crisis is truly different. The pandemic has exposed the myth of false binaries, that complex modern problems can be solved by either purist markets or governments.",Andrew Sheng
"The 2020 US election is looking like a replay of 2016. Will Democrats fail to beat Donald Trump again?. Once again, two questionable candidates are vying for the Democratic presidential nomination. One has been named in a scandal, and the other likes Fidel Castro. Worryingly, Democrats don’t seem to have figured out how to beat Trump.",Robert Boxwell
"Why crashing oil prices amid the coronavirus epidemic are good news for most of Asia. Most Asian economies are net oil importers so a fall in oil prices will lead to stronger economic growth, allowing governments to initiate fiscal stimulus measures to counteract the effect of the coronavirus outbreak.",Patrik Schowitz
"China’s coronavirus response and Italy’s struggles show the benefits of a hierarchical system – and where it needs improvement. A hierarchical political system promotes efficiency by empowering officials to implement policies, while allowing other experts to deal with problems in different areas. But it must ideally make space for challenges to authority.","Daniel A. Bell,Wang Pei"
"Coronavirus crisis: what Boris Johnson can teach Donald Trump about calming investors’ nerves. Compared to 2008, the current threat is harder for policymakers to counter. Like the UK, the US must act decisively with both a monetary and fiscal package.",Nicholas Spiro
"Opposition activists can dream, but it’s still business as usual for the US and Hong Kong. The possibility of any disruption to Hong Kong’s economic relations with the US is worrying. But despite hawkish rhetoric and the passage of the Human Rights and Democracy act, there is considerable goodwill in the US towards Hong Kong.",Bernard Chan
"Polls must be fair, open and smooth in Hong Kong. Proposals that aim to make voting easier for the disabled, pregnant or elderly need to be carefully considered so as not to damage public confidence in elections.",SCMP Editorial
Coronavirus and markets: Why it pays to understand the viral stories that move prices. Economists have long been aware of the power of narratives that try to explain or justify what is happening in financial markets. But now we have the quantitative tools to properly study it and model their economic impact.,Richard Harris
"More remains to be done after landmark visit by Xi Jinping to Wuhan. Trip by Chinese president to the epicentre of the coronavirus outbreak marks success in the first phase of the battle, but there is now the risk of imported cases from countries that could do with Beijing’s help",SCMP Editorial
"Violent protesters for the Nobel Peace Prize? You must be joking. The protest movement has condoned violence, vandalism and vigilantism, if not committed them. Whatever noble intentions it might have had, it has compromised itself by using the ends to justify the means",Alex Lo
"Why the US-Vietnam strategic alliance in the South China Sea is unlikely to last. The US and Vietnam are strange bedfellows, with no common culture, ideology, political system or world view, united for now by the ‘China threat’. But with US freedom of navigation operations challenging Vietnam’s claims along with China’s, and no deep trust, how long can the alliance last?",Mark J. Valencia
"Trump’s America risks repeating China’s early mistakes in coronavirus management. Beijing failed to listen to the experts and communicate clearly with the public in the early days of the coronavirus and paid the price. As Trump contradicts expert advice and downplays infection risks, has he doomed the US to making the same mistakes?",Richard McGregor
Politics should take a back seat for the sake of Taiwanese still stranded in coronavirus-hit China. The painful negotiations over the repatriation of Taiwanese reflect the suspicion and broken communication channels that have marred cross-strait relations since Tsai Ing-wen took office. There are lessons to be learned for both sides.,Jason Li
"As the coronavirus outbreak advances, expect more rate cuts and more economic turbulence. Fears about the global economic outlook are intensifying, with the release of a set of weak Chinese data. These numbers could be a harbinger of more pain to come for other economies, if the spread of the virus is not contained quickly.",Aidan Yao
"‘Mr Sports’: the man who put Hong Kong athletes on world stage. Without the dedication of Arnaldo de Oliveira Sales, who believed sport could create a happier society, the city would have been much the poorer.",SCMP Editorial
"Russian and Saudi leaders must see sense for sake of the global economy. As the world teeters on the brink of recession, an oil price war has caused stock prices already weakened by the coronavirus crisis to plunge further.",SCMP Editorial
"Canada to Huawei: do an IPO with us. Handing Canada what may be the world’s biggest IPO would be a gesture of goodwill that would satisfy full disclosure on finances, governance and ownership structure and help clear the way for Ottawa’s approval of the 5G pioneer.",Alex Lo
"Trump’s troop withdrawals are forcing Asia to contemplate a post-US future, particularly in the South China Sea. By threatening to pull out of South Korea and letting a long-standing US-Philippines military agreement end, Trump has breached the unthinkable. The worry is that the US may strike a withdrawal deal with China in the South China Sea, carving up the disputed waters in a sort of Guam Doctrine.",William Choong
"Complacency risks undoing Hong Kong’s good work in containing coronavirus. This is no time to let our guard down, when there are asymptomatic Covid-19 spreaders, a shortage of protective equipment for medical workers, and the catastrophic possibility of a rise in cases overwhelming stretched hospitals.",Manimala Dharmangadan
