Title,Summary
Hong Kong’s stocks set for steepest weekly loss in three months as protests persist and Tencent’s earnings trail estimates,"The Hang Seng has fallen 4.8 per cent so far this week, putting it on track for the biggest loss for a five-day period since August, as the civic upheaval shows no sign of ending."
Demand for Greater Bay Area homes set to rise with easier ownership rules for Hong Kong professional workers,"A proposal to ease home ownership restrictions in Greater Bay Area for Hong Kong residents may spur demand for properties as more professional workers relocate from the overcrowded financial centre, according to consultants."
"Hong Kong and China stocks have relief rebounds as traders wait for key economic data, shrug off latest protest clashes","Tencent Holdings, the Chinese internet giant, gained 2.2 per cent to HK$330.20, snapping a three-day losing streak. It reports third-quarter earnings on Wednesday."
UBS fined US$51 million by Hong Kong regulator for systematically overcharging bond clients for nearly 10 years,"UBS agrees to compensate 5,000 clients HK$200 million for systematically overcharging them over many years."
Sino Biopharmaceutical added to Hong Kong index of Chinese stocks amid Beijing’s biotechnology push,"An index that tracks shares of mainland Chinese companies on the Hong Kong stock exchange will admit a pharmaceutical stock and a utility. The companies replace a railway company and a building materials producer, partly reflecting the changing profile of China’s economy."
"Hong Kong sets out regulatory framework for virtual asset trading platforms, emphasises investor protection","Hong Kong’s Securities and Futures Commission has issued a new regulatory framework for granting licences to centralised virtual asset trading platforms, with a strong emphasis on protection for investors and their virtual assets."
"Stocks Blog: CK Life Sciences shoots up, HKEX rises on better-than-expected Q3 net profit drop ", CK Life Sciences soared on its reported advance in a melanoma vaccine in an ongoing clinical trial. HKEX reports a 10 per cent decline in its Q3 net profit.
More Hong Kong investors are eyeing Spanish property as gateway to permanent residency in EU,"Hong Kong buyers are discovering the investment opportunities Spain’s property market has to offer, as well as the route it provides to permanent residency in the European Union."
"Banks in Hong Kong, mainland China must buck up or lose US$61 billion in revenue to e-payment providers, Accenture says","Banks will be required to change their business models and focus on providing more value-added services to capture the growth in payments revenue, Accenture said."
"Stocks Blog: Hang Seng breaks two-day losing streak, with banks and property stocks rising on rate cuts",
Two more companies set to raise up to US$250 million as Hong Kong marches ahead in retaining IPO crown,"SinoMab BioScience, a home-grown Hong Kong biopharma company, is aiming to raise up to HK$1.75 billion, while rotary kilns supplier China PengFei Group is seeking to raise up to HK$197.5 million."
"Malaysia wants wealthy Hong Kong, mainland China investors to absorb US$8.9 billion residential property market oversupply","Malaysia is seeking to avert a housing market crisis by luring foreign buyers to its rising stock of unsold homes, targeting wealthy Chinese and Hong Kong residents with fast-track residency visas."
"UK office buildings emerge as good investment opportunities for Hong Kong investors amid anti-government protests, Brexit chaos","Office buildings in the UK have emerged as sound investment options amid the Brexit chaos for Hong Kong investors who, driven by the anti-government protests at home, are increasingly eyeing opportunities abroad, according to Ship Street Advisors."
"Hong Kong’s market regulator to come down hard on misconduct, steps up oversight of underwriters","Misconduct can severely undermine investor confidence in the integrity and transparency of the markets, says Julia Leung, deputy CEO of Securities and Futures Commission."
Thai-Hong Kong ties reinforced by solid business relationships,The HKTDC’s efforts to cultivate closer relationships between the trading partners extend to new sectors of the economy
Hong Kong’s top securities regulator Ashley Alder to leave next September,"Ashley Alder, who has been the CEO of Securities and Futures Commission since October 2011, will not renew his contract, says a spokesman for the regulator."
"Hong Kong’s smaller companies are not ready to face cybersecurity threats, warns Chubb Insurance","More than 75 per cent of Hong Kong small- and medium-sized firms fell victim to cyberattacks last year, according to Chubb Insurance"
"Deal making, IPOs set to slump in China and Hong Kong as trade war, civil unrest rage, says Baker McKenzie report","China’s inbound and domestic mergers and acquisitions are likely to fall by 18 per cent to US$248 billion in 2019, Baker McKenzie forecasts."
"Hong Kong Bond Connect scheme could play crucial role in getting China’s onshore bonds into global indices, say analysts","Market liquidity, forex issues – cited by FTSE Russell when it left China out of its world bond index – could be improved by Bond Connect, traders say"
"Hong Kong’s start-up scene is still a man’s world even if city tops the global ranks for gender diversity, women investors say","This could be why female entrepreneurs in Hong Kong invest more of their own funds into businesses than other markets, using HK$1.2 million on average, less than in mainland China, but more than those in the US and the UK, HSBC said."
"LSE investors call on Hong Kong Exchanges and Clearing to increase bid by 20 per cent, add cash","Some London Stock Exchange investors have told Hong Kong Exchanges and Clearing (HKEX) that any bid must contain more cash and be up to 20 per cent higher to persuade them to engage, three shareholders and a banking source close to the deal said."
Hong Kong-listed mainland Chinese companies seen most at risk if US imposes curbs on capital flows into China,"While the risk of Washington imposing curbs on US capital flows into Chinese equities remains remote, Societe Generale estimates that 10 stocks in Hong Kong could be exposed the most."
Thailand and Hong Kong join hands to boost regional business connectivity,
"Hong Kong might yet shrug off 63 per cent third-quarter decline in IPOs to regain crown of top market globally this year, analysts say","Hong Kong, the world’s largest market for initial public offerings six times over the past decade, might still reclaim its crown from New York this year, analysts said."
Hong Kong set to lead green building and flood-risk initiatives in Greater Bay Area as protests cast doubt over role,"Collaboration on both fronts will be spearheaded by organisations based in the city, according to the Hong Kong Green Finance Association"
New trade options loom as Thai-Hong Kong partnership grows,Long-term efforts and top-level meetings are paying off in opportunities for Hong Kong businesses
Mystery Hong Kong buyer completes US$13.4 million Corinthia Hotel London penthouse deal in just 72 hours,"The multimillionaire buyer and his wife visit London and the Corinthia Hotel is their favourite hotel in the city, according to their agent Aston Chase."
"Hong Kong-China ‘insurance connect’ plan on hold as trade war, protests hit business environment",The Insurance Authority had been in talks with its mainland counterparts to establish a channel modelled on the stock connect schemes
"Hong Kong tycoon Richard Li takes out newspaper ads in support of ‘one country, two systems’ principle, calls for end to protests","Richard Li Tzar-kai, the Hong Kong telecoms tycoon and younger son of Li Ka-shing, the city’s richest man, backed the “one country, two systems” principle in full-page adverts in seven newspapers on Thursday."
"Chips are down for Macau casinos amid Hong Kong protests, slowdown in mainland Chinese economy","The immediate outlook for Macau’s casino sector looks grim, after gross gaming revenue fell 8.6 per cent in August – its biggest monthly drop since June 2016 – from US$3.3 billion in August 2018 to US$3 billion, according to the Macau Gaming Inspection and Coordination Bureau."
‘Greater Bay Area’ reit files documentation for US$800 million Hong Kong IPO,China Merchants Shekou Industrial Zone Holdings said in an exchange filing on Monday night that it was launching a share offering of its real estate investment trust on the Hong Kong stock exchange’s main board.
‘Cunning but not so smart’: Trump targeted by Hong Kong-listed Chinese developer,"A Chinese property developer used its interim result to condemn US President Donald Trump on Friday, even as it praised Chinese leader Mao Zedong."
"Stocks Blog: Oil firms, banks save Hong Kong from losses; Chinese stocks finish lower ","Energy giants PetroChina, CNOOC jump in Hong Kong after oil price gains"
"Deloitte China acquires Hong Kong architecture firm WCWP in nod to expansion in real estate, infrastructure advisory services","Deloitte China has acquired Hong Kong architecture firm WCWP International Limited for an undisclosed amount, in a deal described by an insider as “niche”, but one that points to a future where consultancy firms offer in-house real-estate advisory services as well."
Weak earnings led by Xiaomi keep gains in check in Hong Kong as investors await trade war developments,"Cathay Pacific, which last week found itself caught up in protest fallout, closed down 2.25 per cent, as it tries to get beyond controversy that damaged its brand with all-important Chinese travellers and led to the ouster of its CEO, Rupert Hogg."
"Hong Kong, China markets struggle for direction as four-day winning run ends","Investors watch from cautiously from the sidelines amid a lack of progress in the US-China trade war, while eagerly anticipating the release of the minutes of Federal Reserve’s July policy meeting."
"Hong Kong, China investors hold fire over Vancouver commercial property, but prices unlikely to crash, analysts say","Foreign investors, including those from Hong Kong and mainland Chinese, largely stayed out of commercial real estate in Vancouver, Canada’s second-largest investment market, in the first half of 2019 amid sinking home prices in the city."
Hong Kong’s protest rallies force Thai developer to defer sales launch of ultra luxury apartments in Bangkok,"The postponement shows how Hong Kong’s worst political crisis, sparked by popular protest against a controversial extradition bill, is widening in its business impact and hitting the city’s economy hard."
"Hong Kong, China markets gain most in about two months as trade progress, Shenzhen plan boost sentiment","Moves by Beijing to bolster Shenzhen’s credibility, efforts to lower interest rates and Trump’s comment on trade war talks help to lift the mood."
Ping An’s Hong Kong virtual bank to showcase tech prowess as it harbours ambition to go global,Ping An will test initially test its technology on its own virtual bank platform before offering it to other lenders for a fee.
"Cathay Pacific, Hong Kong property and telecom stocks shoot up despite overall sense of caution in markets",A cautious feeling dominates Hong Kong and mainland markets. But some investors were brave – and turned into big winners.
Bitter unrest in Hong Kong prompts city’s ultra rich to look into relocating their families to the US,New York agent who handles investments beginning at US$10 million says he is receiving an unusually high volume of requests from Hong Kong’s super rich about helping them relocate to America.
"Hong Kong’s financial watchdog reports quarterly loss amid slump in trading turnover, damper on levy income","Securities and Futures Commission reports quarterly loss for April through June of HK$52.69 million (US$6.63 million), amid shrinking market turnover."
"Hong Kong, mainland Chinese investors tap bullion rally, lift gold exchange-traded funds’ assets to six-year high","Exchange-traded funds backed by physical gold have outperformed others tracking equities or fixed income indices, bolstered by a surge in inflow from investors looking to profit from a recent rally in the safe-haven asset to a six-year high through such passive funds."
Boris Johnson’s brother in Hong Kong backs Brexit strategy as he plans UK hotel fund targeting Asian investors,"Max Johnson, 34, who is planning to launch a UK-focused hotel fund targeting Asian high net worth individuals and pension funds, says investors must make use of the sterling’s weakness to snap up assets in Britain."
"Hong Kong electricity provider CLP eyes China power distribution market, India’s renewables, says CEO","CLP reported a net loss of HK$907 million (US$116 million) for the first half, on the back of a HK$6.38 billion impairment on its Australian retail business"
What to expect as launch of Hong Kong virtual banks nears,"Virtual banking in countries such as the United Kingdom, Japan and mainland China could help draw a picture of the sector in Hong Kong, where these lenders are expected to launch operations in the fourth quarter."
Hong Kong’s biggest corporate chieftains are better off than shareholders as median executive pay outstrips stock performance,"The outsize reward packages, comprising basic pay, bonuses, stock options and incentive plans, underscore the top dollar that companies have to pay to retain their top talent."
"China, Hong Kong shares eke out small gains as investors await news on trade talks and Fed interest rate decision",Fitch Ratings maintained Hong Kong’s “AA+” rating but expressed concern about the potential damage of long-term protests on the reputation of the city.
"Hong Kong’s New World Development takes advantage of Hangzhou land price curbs, wins plot for 9.8 billion yuan","Hangzhou in China’s eastern Zhejiang province is selling land for as little as only 4 per cent above starting bids, as it works to keep prices down and cool its housing market."
"Digital Domain, Hong Kong-based visual effects studio behind Avengers and Titanic is betting on future of 5G, virtual reality","Hong Kong-listed Digital Domain, which designed Thanos for Avengers: Infinity War and Avengers: Endgame, is investing in virtual reality, interactive technology"
"Hong Kong shares suffer worst weekly loss in two months amid ongoing protests, Fed rate speculation","‘The next 60 days will be critical’ to Hong Kong’s future as the city faces ‘an unprecedented political crisis’, Daiwa Capital Markets’ chief economist Kevin Lai wrote in a report."
"Optimism on US-China trade talks gives boost to Hong Kong, mainland shares; STAR tech shares shoot back up","All of the 25 stocks listed on Shanghai’s technology innovation board, also known as the STAR Market, closed higher on the third day of trading, rebounding from sharp losses on Tuesday."
"Sino-Ocean to launch a new fund targeting mainland logistics, warehousing","China has a shortage of high-quality warehousing facilities, especially in areas surrounding first-tier cities, according to Sino-Ocean."
Hong Kong developer Nan Fung launches arthritis and cancer biosimilars joint venture with Korean biopharmaceutical firm,Hong Kong-based property developer Nan Fung deepened its diversification into health care with the announcement on Friday of a joint venture that will produce and sell in mainland China biosimilar versions of medicines used to treat arthritis and cancers.
Cyberport has a plan to make Hong Kong a regional leader in e-sports,Cyberport’s HK$50 million (US$6.4 million) e-sports arena can seat 400 people.
Global fund managers expanding in Hong Kong with eye on Greater Bay Area and Belt and Road Initiative,US-based Federated Investors and its partially owned UK fund manager Hermes Investment Management both plan to expand in Hong Kong as part of their long-term Asia strategy.
Hong Kong says China pork supply may not recover quickly,"It could be as long as a decade before China recovers from its outbreak of the deadly pig disease that is decimating hog herds, according to Cargill."
"Anheuser-Busch scraps its US$9.8 billion IPO for Budweiser in Hong Kong, scuppering world’s largest fundraising plan of 2019","The cancelled IPO, a month after ESR Cayman Limited scrapped its plan to raise up to US$1.24 billion, is a set back for Hong Kong’s race to catch up with New York as the world’s fundraising hub."
"Hong Kong, China stocks advance as clearer Federal Reserve signal of lower interest rate buoys investors’ sentiments","Still, some investors remained wary of China’s economic data, which shows the world’s second-largest economy is still struggling to find its footing amid the slowest growth pace in more than three decades."
"Tencent, health care boost Hong Kong shares, while Chinese shares fall on swirling uncertainties","“Overall, investors are sidelined and watchful,” said Francis Lun, chief executive of Geo Securities. They are awaiting news out of the US about interest rates."
"China, Hong Kong high-net-worth individuals led US$2 trillion decline in global wealth last year, Capgemini says","High-net-worth individuals in Asia-Pacific accounted for about half of a US$2 trillion drop in global wealth last year, according to consultancy Capgemini. China accounted for about 25 per cent of the decline."
AllianzGI launches Hong Kong hackathon; nine global start-ups will pitch their AI strategies to fund management executives,Nine teams will present how their AI strategies can facilitate fund management during three-day Cyberport event
Hong Kong shares rise for a fifth straight week but investors tread with caution,Property stocks in Hong Kong have a stellar week as investors bet on a Federal reserve rate cut.
"‘Key man risk’ is still rife in Chinese companies, as shown by the US$4.2 billion wipeout in value of Future Land after founder’s arrest in Shanghai","Latest scandal involving Wang Zhenhua, the controlling shareholder of Future Land, shows how investors end up paying a heavy price for the mistakes of executives synonymous with their companies."
Hong Kong’s cancer DNA tests industry gets a boost as Taiwanese provider ACT Genomics opens lab,Taiwan-based ACT Genomics opens a HK$20 million laboratory at the Science Park in Sha Tin to process cancer patients’ samples
"Hong Kong’s MPF wipes out last year’s losses with strong first-half gains thanks to stocks rally, easing of trade war","Hong Kong’s compulsory pension scheme returned 8.4 per cent in the first half, recovering last year’s 8.2 per cent losses"
"Hong Kong rates climb to 2008 highs, dollar jumps before jumbo IPO",The one-month and two week tenors climbed to their highest since October 2008
"Not enough Hong Kong-listed companies are conducting due diligence before deals, accounting firm Grant Thornton says","Only 41 per cent of business transactions disclosed by Hong Kong-listed companies last year included detailed investigations into the assets and operations being traded, accounting and audit firm Grant Thornton said on Wednesday."
Hong Kong bans former Goldman partner Tim Leissner for life for role in 1MDB scandal,Hong Kong’s Securities and Futures Commission said on Wednesday it was banning former Goldman Sachs (Asia) partner Tim Leissner from working as a securities and financial adviser in the city for life.
"First-half M&As by Hong Kong-listed companies shrink to six-year low as trade war, weaker yuan deterred dealmaking","Caught in the year-long trade war between the world’s two largest economies, Hong Kong’s businesses are struggling to regain their paces, many considering plans to shift their production facilities in mainland China to elsewhere in Southeast Asia to skirt US tariffs on Chinese products."
What Vitasoy’s epic fall can teach investors about Hong Kong’s red hot consumer stocks,Cyrus Tai of Orient Securities likes instant noodle and drink maker Uni-President China and baked goods producer Dali Foods Group.
Richard Li’s FWD acquires insurer MetLife’s Hong Kong business,"FWD Group, the insurance arm of Hong Kong tycoon Richard Li Tzar-kai's Pacific Century Group, has agreed to acquire MetLife Hong Kong’s business, it said on Friday."
"AngelHub, Hong Kong’s first equity crowdfunding platform, shortlists five start-ups for fundraising","AngelHub, Hong Kong’s first equity crowdfunding platform, has selected five start-ups out of 250 candidates to raise funds just two months after it was licensed by the city’s Securities and Futures Commission."
"China, Hong Kong markets boosted by upbeat sentiment that Xi-Trump trade discussions will deliver positive results","Kweichow Moutai, a popular baijiu maker, shot above 1,000 yuan per share in intraday trading, making it the first Chinese stock to achieve that milestone."
Taiwan halts US$32.2 million investment by Hong Kong firm with ‘extreme deep connections’ to Beijing on security grounds,"A part of the largest property development project in Taipei has been halted, after Taiwan’s ministry of economic affairs blocked a key investor citing national security concerns."
"Hong Kong’s retail sales will drop 5 per cent this year amid fall in numbers of mainland Chinese tourists, says PwC",The accounting giant’s estimate of a 5 per cent fall in retail sales is a downgrade from its earlier forecast of a 3 per cent drop.
"Defensive health care plays help Hong Kong, Shanghai stock markets ahead of high-stakes Xi-Trump trade meeting","After markets closed here, US Treasury Secretary Steven Mnuchin said of a possible trade deal ‘I think there’s a path to complete this’. Earlier, traders looked for safe havens like health care stocks."
Richard Li’s FWD is in talks to buy MetLife’s Hong Kong insurance unit to expand through acquisition,"Richard Li’s FWD is in talks to buy MetLife’s Hong Kong insurance unit, the latest in a string of acquisitions."
"Hong Kong, Shanghai indexes end higher for sixth straight day","Property stocks were among gainers in Hong Kong, bolstered by expectations for an interest-rate cut next month from the US Federal Reserve"
"In Hong Kong, search for ‘cyber theft’ insurance stumps aspiring cryptocurrency exchanges","For cryptocurrency exchanges and custodians, complying with Hong Kong’s new rule on insurance is a costly challenge."
"Hong Kong, China stocks end higher as political tensions over extradition bill subside","Investors “are waiting for clearer skies,” said Louis Tse Ming-kwong, managing director of VC Asset Management. “It’s a ‘wait and see’ game.”"
Hong Kong to become a hub for catastrophe bonds as Greater Bay Area takes shape,Cross-border reinsurance business seen as growth market for Hong Kong
"Stocks Blog: Hang Seng gets confidence boost after big Sunday protest, apology from city leader",Hang Seng snaps three-day losing streak on confidence boost from protest-prompted climbdown by Hong Kong leader on controversial extradition proposal
"Hong Kong top destination for Chinese IPOs, but new Shanghai tech board poses threat, Baker McKenzie says","Chinese companies expected to raise US$6.8 billion in Hong Kong in the first half of 2019, according to the law firm Baker McKenzie"
Hong Kong's rates curve is the most inverted in two decades,The one-month interbank borrowing cost on Thursday jumped to its highest level since October 2008
The Hong Kong maker of Transformers toys rushes to ship orders for the US holiday season to beat Trump’s tariffs,"Hong Kong toymaker Forward Winsome, famous for its rubber ducks, has been rushing to meet a spike in orders from American customers keen to stockpile products before they are hit by the next round of trade duties"
"Stocks Blog: Hong Kong, Shanghai climb on bigger-than-expected China exports,  growing hopes for Fed rate cut",
Shanghai posts sixth straight day of losses while Hong Kong gains as fears of oil glut are added to jitters around ongoing trade war,"“June will almost certainly be worse than May, because more bad news may come and things could go even more downhill,” Francis Lun of Geo Securities of Hong Kong’s stock market."
Stocks Blog: Shanghai ends down but Hong Kong ekes out small gain as energy stocks fall amid fear of oil glut ,
Hong Kong regulator slaps a ban on Nuoqi’s former CFO for failing to stop his chairman from pilfering the company’s coffers,Nuoqi went into trouble only six months after its 2014 listing when its chairman Ding Hui disappeared with US$34 million from the company
"Stocks Blog: Shanghai  ends down, extending losses for fifth consecutive trading day amid US-China trade feud ","Traders couldn't shake their jitters over the trade war, though some went out bargain hunting. "
Hong Kong’s new pensions tax break gives early boost to retirement savings,"Major pension providers including HSBC, Prudential, Manulife and AIA saw a strong response to their new tax-deductible deferred annuity and MPF products."
"Mainlanders snap up Hong Kong insurance products in first quarter, amid fears of trade war, forex losses","Mainlanders bought HK$12.77 billion (US$1.63 billion) of life and medical insurance products in Hong Kong during the first quarter, reflecting a rise of 8 per cent on year."
"Stock indexes retreat in mainland China, Hong Kong as trade war between world’s two largest economies spreads to technology",
"‘No easy fix’ for Hong Kong firms affected by tariffs as US customs tightens scrutiny, former trade official says",Former US trade official discusses strategies for Hong Kong companies caught in the US-China trade war.
"Stocks Blog: China, Hong Kong shares pounded by fears of US-China tech rivalry ",
"Car maker Infiniti to move headquarters from Hong Kong to Japan to be nearer parent Nissan as it pursues electric, autonomous vehicles","The company said it will move its global HQ to the Japanese city of Yokohama, home of its parent, Nissan"
Hong Kong’s financial watchdog fines China Merchants Securities HK$27 million for ‘failed’ IPO sponsor duty,The Hong Kong subsidiary of one of China’s largest brokerages has been fined by the Securities and Futures Commission for its sponsor work related to the listing of China Metal Recycling
Education University of Hong Kong seeks to distance itself from alleged fraud mastermind,"Education University of Hong Kong wants to remove Roy Cho Kwai-chee’s name from its main building, but has found it difficult to do so."
"Stocks Blog: Shanghai snaps streak of seven days of losses while Hong Kong falls amid US-China trade, tech turmoil ",
Hong Kong reclaims crown as global hub for high-end Bordeaux wine,"Last year Hong Kong accounted for 16 per cent of high-end wine sales by value from Bordeaux, the famed wine growing region in southwestern France"
Stocks close mixed in Hong Kong and China amid mixed messages on progress of negotiations to end the ongoing US-China trade war,"After the Hang Seng lost 680 points over past four days, investors squared their short positions among selective financial blue chips"
Creating a Resilient Hong Kong,"Bernard CHAN, Convenor of the Non-Official Members of the Executive Council - Hong Kong's highest policy making body, analyses what Hong Kong needs to do to prepare its citizens – across all levels of society – for the radically different employment landscape of the future. "
"Debt-ridden HMV mulls big liquidation sale of CDs, DVDs in Hong Kong after potential buyers walk away","The potential sale would see 100,000 CDs, DVDs, Blu-rays and records offered at heavily discounted prices."
"Extended US-China trade war may see Hong Kong employers hold back on hiring, say recruiters","Hong Kong employment outlook remains positive, but companies are cautious as threat of long-term trade war looms"
Hong Kong charges alleged mastermind who sparked city’s largest financial probe in decades for conspiracy to defraud Convoy,"Roy Cho Kwai-chee, the alleged mastermind in Hong Kong’s largest financial investigation in decades, has been charged with conspiracy to defraud Convoy."
"Asia’s equity markets extend global sell-off, taking the cue from US$1 trillion   overnight wipeout as trade war escalates",Hong Kong closes down 1.5 per cent after returning from a holiday.
Hong Kong investors take advantage of a correction in Singapore’s property prices,"Singapore’s property prices have continued to fall since the last quarter of 2018, declining 0.7 per cent in the first three months of the year."
"China, Hong Kong markets will be less skittish as trade war drags on, observers say","China’s response to the imposition of increased tariffs by the US suggests that a protracted trade war lies ahead, but investors’ sensitivity to escalations and de-escalations could wane over time, according to observers."
Investors pile into Viva Biotech’s Hong Kong IPO as they are confident of the R&D services provider’s business model,"Not only is the firm profit-making, but its investment in potential drug candidates has made it attractive to investors, says Louis Tse Ming Kwong, managing director of VC Asset Management"
Hong Kong’s internet banking pioneer says it will stay above the fray in city’s rush to embrace virtual banking,
Goldzip launches in Hong Kong with US$300 million worth of physical metal in reserve from exchange members,"Goldzip tokens will be matched against physical gold, backed by an audited reserve of US$300 million worth of the precious metal."
"Hong Kong’s billionaire class shrinks the most as trade war wrought havoc on global markets, wiping out worldwide fortunes","Hong Kong’s billionaires lost a combined US$56 billion last year, while their numbers fell to 87."
"Greater adoption of ETFs in Hong Kong depends on more fee-based advisers, Nasdaq says","The fee-based model was a “critical” point in the growth of ETFs in the United States, according to Nasdaq’s Robert J. Hughes."
Shenzhen to adopt Singapore housing policy and drop Hong Kong model,"Shenzhen plans to offer 1 million homes at as low as half of the prevailing market rate, according to a policy paper released last month."
"Meatless meat revolution kicks off in Hong Kong, where Li Ka-shing puts his money where his mouth is","The meat business in Hong Kong, a trendsetter in Asia, is worth US$1.4 trillion a year. The city imported US$1.7 billion worth of US meat in 2018, and Hongkongers are by the far the biggest per capita consumers of meat products globally."
"Hong Kong’s benchmark stock index bursts through 30,000 points again as HSBC profit beats estimates","HSBC, Europe’s largest bank, beat market expectations with a 34 per cent jump in first-quarter profit"
New president of Chinese Securities Association in Hong Kong urges MPF rules review,"Lin Yong, also CEO of Haitong International, suggests the city’s compulsory retirement plan should be allowed to invest in Chinese A shares"
"As biotechnology firms become the darlings of Hong Kong’s IPO market, their executives get outsized pay packets. Here’s why","As biotechnology becomes one of the hottest sectors in Hong Kong’s IPO market, biotech executives get extraordinary pay packages, especially in the first year after the companies go to market."
Stocks Blog: Hang Seng Index rises on China's pledge to liberalise banking industry,Trading resumes on the Hong Kong stock exchange after a one-day break to mark Labour Day
Hong Kong traded shares in Chinese peer-to-peer lending platform Gold-Finance tank after founder put in police custody,China’s efforts to clean up its embattled peer-to-peer lending sector are behind the latest shock wave to affect trading in Hong Kong.
"Hong Kong’s banks back on the hiring spree after a decade of lay-offs as they prepare for virtual banking, Greater Bay expansion",All four new virtual bank licence holders say they are looking to hire bankers as soon as possible as they prepare to launch their services
Standard Chartered: ‘We’re looking to hire in Hong Kong’ thanks to Greater Bay Area integration,"John Tan, regional head of financial markets at Standard Charted Bank, says more staff needed to handle expected growth in trading business."
"Hong Kong issues equity crowdfunding licence to AngelHub in boost to fintech ambitions, start-ups","The SFC is the latest Hong Kong authority to update its regulations to accommodate technological developments. In a first, it has issued licences to AngelHub, an equity crowdfunding operator, that will allow it to offer securities trading and advisory services."
"China and Hong Kong markets sink on fear of US dollar strength, Beijing scaling back stimulus",Are markets heading into a period of correction? Some analysts think so.
Stocks Blog: Shanghai breaks week's losing streak -- with a teensy 0.09 per cent gain,"We cover the mainland and Hong Kong markets for you, explaining what is happening and why. Experts also offer you guidance on what's ahead."
"A year after Hong Kong’s stock listing overhaul, city’s aim to be Asia’s biotech hub is still a work in progress","Less than 10 firms have taken advantage of the radical listing reforms, but their IPO proceeds are the second biggest worldwide"
Hong Kong’s MPF managers lobby for access to Shanghai and Shenzhen stocks to avoid missing out on the world’s biggest bull run,The regulator said that it constantly reviews the need to amend the list of approved stock exchanges as it has to take into account the fund industry’s requirements and balance it with the interests of the MPF members.
"Hong Kong still attractive for bankers despite high living costs, senior headhunter says","Hiring mandates up more than 40 per cent in private equity, real estate and venture capital, according to recruitment firm Selby Jennings."
How much of a bitcoin’s value can Hong Kong investors claim when the city’s oldest cryptocurrency exchange goes bust?,
Head of China’s biggest state firm in Hong Kong urges Beijing to deepen market reforms,"Fu Yuning, chairman of China Resources Group, says competition is necessary for state enterprises to reform themselves and emerge stronger on the global stage."
"Hong Kong insurer Blue Cross adopts blockchain to speed up medical claims, eliminate fraud","Blue Cross, owned by Bank of East Asia, says blockchain will help to save costs on data verification across the insurer’s network of clinics and customers."
"Hong Kong’s dollar millionaires swell at the slowest pace since 2014, due to trade war-induced bear market","The number of people with US$1.27 million or more in total assets rose 3 per cent last year while those with liquid assets grew 1.5 per cent, Citibank said."
Hong Kong’s health insurance and pension saving ‘tax deducting schemes’ find traction in the first two weeks since launch,Major insurers record brisk sales in the new tax-deductible schemes since launch on April 1
"Hong Kong may boost start-up ecosystem by offering more incentives to overseas angel investors, says financial secretary","Hong Kong will consider offering more incentives to attract overseas angel investors to the city, Financial Secretary Paul Chan Mo-po said on Sunday."
Hong Kong wins back title as Asia’s second-largest stock market by body slamming Japan,The last time Hong Kong market was more valuable than Japan was in April 2015.
Hong Kong’s first-quarter IPOs generate biggest returns in four years as bull market builds up,Behind the stellar returns are a strong overall Hong Kong market and fewer IPOs for investors to choose from.
Hong Kong’s financial regulator urged to keep an open mind on fintech start-ups as city hands out virtual bank licences,Australian unicorn Airwallex and online brokerage firm Interactive Brokers say they would be considering other markets after their failure to acquire a virtual bank licence from the HKMA.
Hong Kong-listed Prada joins luxury brands in lowering prices in China,"Prada, Gucci and Louis Vuitton cut prices by 3 per cent to reflect lower VAT"
"HSBC targets Hong Kong start-ups, SMEs with digital ‘Sprint’ account as it embraces technology","The new account is the latest in the bank’s digital strategy, which has included 15 initiatives for small, medium-sized businesses since 2017"
"Fortnum & Mason, the queen’s favourite grocer, picks Hong Kong as foothold of its first Asian expansion in three centuries",Fortnum & Mason will open a two-storey shop at the Victoria Dockside in Tsim Sha Tsui as part of the new high-end K11 MUSEA mall which opens in September.
Chinese Olympic team kit sponsor Anta sued by small Hong Kong rival for allegedly copying design of its schoolbags,"The sportswear giant is accused by Grown Up, a much smaller Hong Kong firm, of copying the appearance of three of its MoonRock branded schoolbags"
Former Hong Kong Financial Secretary John Tsang joins virtual insurer Bowtie as a senior adviser,Analysts believe a big name like Tsang could help the digital start-up to compete with traditional insurers.
Hong Kong belatedly joins mainland China in bull market club as upbeat sentiment lifts stocks,"Hang Seng Index jumped 1.8 per cent to close at 29,562.02 on the first trading session of the second quarter, gaining 20.2 per cent since a recent low in October."
"HSBC, BOCHK and AXA to mobilise entire networks as Hong Kong rolls out tax incentive schemes",Financial companies including HSBC and Bank of China (Hong Kong) as well as insurers AXA and Sun Life on Sunday said two tax schemes the government is launching on Monday will be available throughout their networks in the city.
Hong Kong retail giant AS Watson to spend HK$1 billion on digital transformation in the next decade,"The iconic health and beauty chain aims to innovate by partnering with start-ups in countries like Canada, the US and Australia, rather than through acquisitions"
"Stock indexes of China, Hong Kong ended the first quarter with spectacular surges. Can they repeat the feat next three months?","The outcome of the negotiations to avert the trade war between the world’s two largest economies will either make or break the tenuous recovery in the stock markets of mainland China and Hong Kong, analysts said"
Can Hong Kong’s carrot and stick approach prove effective in improving stock market quality?,"While the HKEX has initiated a three-year plan to make it the market of choice in the Asian time zone, the SFC has been wielding its cudgel to get participants to toe the regulatory line."
